Date,NodeID,FrameID,MeasurementCounter,PlantTemp1,PlantTemp2,PlantTemp3,PlantTemp4,PlantTemp5,PlantTemp6,AirTempLoc,Humidity,AirTemp,AirTemp_1
2020-02-27 15-19-18,17,16,41945,-0.01999999999998181,0.79,0.25,0.33,0.29,0.09,-0.14999999999997726,92.74290051250001,0.187,-1.562
2020-02-27 15-20-18,17,16,41946,-0.2799999999999727,-0.32000000000005,0.71,-0.18000000000006366,0.25,0.09,-0.17000000000007276,92.87905405000001,0.187,-1.562
2020-02-27 15-21-18,17,16,41947,-0.13999999999998636,0.43,0.59,0.67,0.83,-0.2599999999999909,-0.09000000000003183,94.20913702450001,0.187,-1.562
2020-02-27 15-22-18,17,16,41948,-0.4800000000000182,0.97,-0.01999999999998181,0.25,0.51,0.37,-0.11000000000001364,94.18206905800001,0.187,-1.562
2020-02-27 15-23-18,17,16,41949,-0.36000000000001364,0.87,0.05,0.09,0.87,0.13,-0.10000000000002274,94.290321778,0.187,-1.5
2020-02-27 15-24-18,17,16,41950,-0.5199999999999818,0.71,0.33,-0.01999999999998181,0.59,-0.06000000000005912,-0.14999999999997726,93.74854761800002,0.25,-1.562
2020-02-27 15-25-18,17,16,41951,-0.36000000000001364,1.05,0.13,-0.10000000000002274,0.29,0.13,-0.17000000000007276,94.80382496450001,0.25,-1.562
2020-02-27 15-26-18,17,16,41952,-0.5600000000000591,0.37,0.29,-0.01999999999998181,0.67,-0.01999999999998181,-0.19000000000005457,94.992719968,0.25,-1.562
2020-02-27 15-27-17,17,16,41953,-0.5199999999999818,1.09,-0.5199999999999818,-0.44000000000005457,0.37,0.13,-0.25,95.100589768,0.187,-1.687
2020-02-27 15-28-18,17,16,41954,-0.2599999999999909,-0.36000000000001364,0.41,-0.5600000000000591,0.21,0.29,-0.2400000000000091,95.50464680050001,0.187,-1.687
2020-02-27 15-29-18,17,16,41955,-0.44000000000005457,0.29,0.55,0.05,0.25,0.05,-0.2400000000000091,95.100589768,0.25,-1.75
2020-02-27 15-30-18,17,16,41956,-0.4800000000000182,-0.4800000000000182,0.83,-0.13999999999998636,0.79,0.05,-0.3100000000000591,94.47964118450001,0.25,-1.75
2020-02-27 15-31-18,17,16,41957,-0.4800000000000182,0.59,-0.18000000000006366,0.05,0.17,-0.18000000000006366,-0.32000000000005,95.100589768,0.25,-1.75
2020-02-27 15-32-18,17,16,41958,-0.44000000000005457,-0.18000000000006366,-0.44000000000005457,-0.13999999999998636,0.21,0.17,-0.36000000000001364,94.80382496450001,0.187,-1.75
2020-02-27 15-33-17,17,16,41959,-0.2799999999999727,0.41,0.17,-0.36000000000001364,0.09,-0.06000000000005912,-0.36000000000001364,95.0196922045,0.187,-1.75
2020-02-27 15-35-18,17,16,41960,-0.4800000000000182,0.17,0.01,-0.39999999999997726,0.51,0.05,-0.37000000000000455,95.639172928,0.187,-1.687
2020-02-27 15-36-18,17,16,41961,-0.32000000000005,1.01,0.17,-0.36000000000001364,0.17,0.01,-0.38999999999998636,95.1275492405,0.187,-1.75
