Date,NodeID,FrameID,MeasurementCounter,PlantTemp1,PlantTemp2,PlantTemp3,PlantTemp4,PlantTemp5,PlantTemp6,AirTempLoc,Humidity,AirTemp,AirTemp_1
2020-02-27 15-54-15,11,16,40724,-1,0.63,0.47,0.59,0.43,-0.44000000000005457,,-2.0462,0.125,-1.812
2020-02-27 15-55-15,11,16,40725,-1.1200000000000045,0.51,0.75,0.43,0.25,-0.4800000000000182,,-2.0462,0.125,-1.75
2020-02-27 15-56-15,11,16,40726,-1.2000000000000455,0.21,0.17,0.29,0.29,-0.6399999999999864,,-2.0462,0.125,-1.75
2020-02-27 15-57-15,11,16,40727,-1.1200000000000045,0.33,0.37,0.91,0.33,-0.6399999999999864,,-2.0462,0.125,-1.687
2020-02-27 15-58-15,11,16,40728,-1.2799999999999727,0.17,0.25,0.47,0.55,-0.44000000000005457,,-2.0462,0.125,-1.75
2020-02-27 15-59-14,11,16,40729,-1.4200000000000728,0.37,0.29,0.25,0.55,-0.5199999999999818,,-2.0462,0.187,-1.687
2020-02-27 16-00-14,11,16,40730,-1.2000000000000455,0.59,0.59,0.41,0.43,-0.7200000000000273,,-2.0462,0.125,-1.687
2020-02-27 16-01-14,11,16,40731,-1.3799999999999955,0.63,0.33,0.47,0.43,-0.5600000000000591,,-2.0462,0.125,-1.625
2020-02-27 16-02-15,11,16,40732,-1.2799999999999727,0.43,0.05,0.43,0.63,-0.5600000000000591,,-2.0462,0.187,-1.562
2020-02-27 16-03-15,11,16,40733,-1.82000000000005,0.41,0.25,-0.36000000000001364,0.83,-0.4800000000000182,,-2.0462,0.125,-1.562
2020-02-27 16-04-15,11,16,40734,-1.5400000000000773,0.43,0.21,0.51,0.67,-0.7200000000000273,,-2.0462,0.187,-1.562
2020-02-27 16-06-15,11,16,40735,-1.1599999999999682,0.33,0.01,0.43,0.71,-0.7599999999999909,,-2.0462,0.187,-1.687
2020-02-27 16-07-15,11,16,40736,-1.2000000000000455,0.09,0.43,0.29,0.29,-0.7200000000000273,,-2.0462,0.125,-1.75
2020-02-27 16-08-15,11,16,40737,-1.080000000000041,0.33,-0.13999999999998636,-0.22000000000002728,0.29,-0.6399999999999864,,-2.0462,0.125,-1.812
2020-02-27 16-09-15,11,16,40738,-1.240000000000009,0.67,0.17,0.29,0.29,-0.7200000000000273,,-2.0462,0.125,-1.75
2020-02-27 16-10-14,11,16,40739,-1.3400000000000318,0.17,0.21,0.33,0.47,-0.8000000000000682,,-2.0462,0.125,-1.75
2020-02-27 16-11-15,11,16,40740,-1.080000000000041,0.37,0.33,-0.13999999999998636,0.13,-1.4200000000000728,,-2.0462,0.062,-1.687
2020-02-27 16-12-15,11,16,40741,-1.1599999999999682,0.29,0.01,0.01,0.55,-0.5199999999999818,,-2.0462,0.125,-1.687
2020-02-27 16-13-15,11,16,40742,-1.3400000000000318,0.37,0.13,0.21,0.75,-0.6399999999999864,,-2.0462,0.125,-1.687
2020-02-27 16-14-15,11,16,40743,-1.32000000000005,0.47,0.47,0.33,0.41,-0.8000000000000682,,-2.0462,0.062,-1.625
2020-02-27 16-15-15,11,16,40744,-1.240000000000009,0.29,0.09,0.13,0.09,-0.8799999999999955,,-2.0462,0.062,-1.625
2020-02-27 16-16-14,11,16,40745,-1.3400000000000318,0.47,0.09,0.37,0.33,-0.6399999999999864,,-2.0462,0.062,-1.687
2020-02-27 16-17-15,11,16,40746,-1.32000000000005,0.41,0.17,0.25,0.41,-0.9200000000000728,,-2.0462,0.062,-1.687
2020-02-27 16-18-15,11,16,40747,-1.3400000000000318,0.59,0.41,0.05,0.05,-0.9200000000000728,,-2.0462,0.062,-1.687
2020-02-27 16-19-15,11,16,40748,-1.1200000000000045,0.67,-0.01999999999998181,0.29,0.41,-0.5600000000000591,,-2.0462,0.062,-1.812
2020-02-27 16-20-15,11,16,40749,-1.4600000000000364,0.43,0.37,-0.01999999999998181,0.37,-0.36000000000001364,,-2.0462,0.062,-1.812
2020-02-27 16-21-15,11,16,40750,-1.580000000000041,0.43,-0.22000000000002728,0.01,0.21,-0.8000000000000682,,-2.0462,0,-1.875
2020-02-27 16-22-15,11,16,40751,-1.3799999999999955,0.41,0.01,0.29,0.17,-0.8000000000000682,,-2.0462,0,-1.812
2020-02-27 16-23-14,11,16,40752,-1.32000000000005,0.29,0.33,0.13,0.41,-0.7200000000000273,,-2.0462,0,-1.812
2020-02-27 16-24-14,11,16,40753,-1.1599999999999682,0.41,0.29,0.21,-0.7599999999999909,-1.080000000000041,,-2.0462,0,-1.812
2020-02-27 16-26-15,11,16,40754,-1.2799999999999727,-0.01999999999998181,0.21,0.41,0.33,-0.5199999999999818,,-2.0462,0,-1.937
2020-02-27 16-27-15,11,16,40755,-1.0400000000000773,0.97,0.25,-0.10000000000002274,0.41,-0.4800000000000182,,-2.0462,0,-2
2020-02-27 16-28-15,11,16,40756,-0.9600000000000364,0.41,0.25,0.25,0.59,-0.8799999999999955,,-2.0462,0,-1.937
2020-02-27 16-29-15,11,16,40757,-1.3799999999999955,0.05,0.21,-0.01999999999998181,0.43,-1.1599999999999682,,-2.0462,0,-1.875
2020-02-27 16-30-15,11,16,40758,-1.4200000000000728,0.25,0.59,0.05,0.21,-0.8799999999999955,,-2.0462,0,-1.875
2020-02-27 16-31-15,11,16,40759,-1.240000000000009,0.37,0.09,0.13,0.05,-1.1599999999999682,,-2.0462,0,-1.812
2020-02-27 16-32-15,11,16,40760,-1.3799999999999955,0.17,0.29,0.01,0.29,-0.9600000000000364,,-2.0462,0,-1.75
2020-02-27 16-33-15,11,16,40761,-1.1200000000000045,0.29,0.17,-0.10000000000002274,0.09,-0.9600000000000364,,-2.0462,0,-1.75
2020-02-27 16-34-15,11,16,40762,-1.2799999999999727,0.47,-0.10000000000002274,0.33,0.33,-0.6000000000000227,,-2.0462,0,-1.75
2020-02-27 16-35-15,11,16,40763,-1.6200000000000045,0.37,0.43,0.33,0.29,-0.6800000000000637,,-2.0462,0.062,-1.625
2020-02-27 16-36-14,11,16,40764,-1.3799999999999955,0.05,0.71,0.41,0.47,-1.0400000000000773,,-2.0462,0.062,-1.625
2020-02-27 16-37-15,11,16,40765,-1.240000000000009,0.13,0.17,0.43,0.43,-0.6000000000000227,,-2.0462,0.062,-1.625
2020-02-27 16-38-15,11,16,40766,-1.3400000000000318,0.59,0.01,0.21,0.41,-0.5600000000000591,,-2.0462,0.062,-1.625
2020-02-27 16-39-15,11,16,40767,-1.4200000000000728,0.29,0.01,0.33,0.29,-0.9600000000000364,,-2.0462,0.062,-1.562
2020-02-27 16-40-15,11,16,40768,-1.4200000000000728,0.29,0.37,0.09,0.13,-0.6800000000000637,,-2.0462,0.062,-1.625
2020-02-27 16-41-15,11,16,40769,-1.4200000000000728,0.29,-0.2599999999999909,-0.22000000000002728,0.59,-0.6399999999999864,,-2.0462,0.062,-1.687
2020-02-27 16-42-14,11,16,40770,-1,0.41,0.47,0.41,0.47,-0.8400000000000318,,-2.0462,0.062,-1.812
2020-02-27 16-44-15,11,16,40772,-1.32000000000005,0.55,0.47,0.41,0.17,-0.7200000000000273,,-2.0462,0.062,-1.812
2020-02-27 16-45-15,11,16,40773,-1.3799999999999955,0.47,0.37,-0.2799999999999727,0.43,-0.39999999999997726,,-2.0462,0.062,-1.75
2020-02-27 16-46-15,11,16,40774,-1.2799999999999727,0.59,0.21,0.13,0.41,-0.5600000000000591,,-2.0462,0.125,-1.75
2020-02-27 16-47-15,11,16,40775,-1.2799999999999727,0.37,0.21,0.43,0.51,-0.6000000000000227,,-2.0462,0.125,-1.75
2020-02-27 16-48-14,11,16,40776,-1.4200000000000728,0.33,-0.01999999999998181,-0.10000000000002274,0.41,-0.8400000000000318,,-2.0462,0.125,-1.75
2020-02-27 16-49-14,11,16,40777,-1.2000000000000455,0.21,0.25,0.25,0.41,-0.39999999999997726,,-2.0462,0.125,-1.812
2020-02-27 16-50-15,11,16,40778,-1.2000000000000455,0.25,0.43,0.09,0.55,-0.44000000000005457,,-2.0462,0.125,-1.75
2020-02-27 16-51-15,11,16,40779,-1.4200000000000728,0.13,0.55,0.25,0.41,-0.5199999999999818,,-2.0462,0.125,-1.812
2020-02-27 16-52-15,11,16,40780,-1.2000000000000455,0.47,0.09,0.13,0.47,-0.5600000000000591,,-2.0462,0.125,-1.75
2020-02-27 16-53-15,11,16,40781,-1.5400000000000773,0.43,0.43,0.43,0.51,-0.6399999999999864,,-2.0462,0.125,-1.812
2020-02-27 16-54-15,11,16,40782,-1.1599999999999682,0.25,0.43,0.33,0.41,-0.7200000000000273,,-2.0462,0.125,-1.75
2020-02-27 16-55-14,11,16,40783,-1.3799999999999955,0.47,0.33,0.13,0.71,-0.6399999999999864,,-2.0462,0.187,-1.75
2020-02-27 16-56-15,11,16,40784,-1.1200000000000045,0.59,0.41,0.55,0.05,-0.5600000000000591,,-2.0462,0.187,-1.625
2020-02-27 16-57-15,11,16,40785,-1.080000000000041,-0.01999999999998181,0.25,0.37,0.37,-0.8400000000000318,,-2.0462,0.187,-1.625
2020-02-27 16-58-15,11,16,40786,-1.5,0.17,0.21,0.37,0.37,-0.7200000000000273,,-2.0462,0.187,-1.75
2020-02-27 16-59-15,11,16,40787,-0.9600000000000364,0.05,0.29,-0.13999999999998636,0.63,-0.5600000000000591,,-2.0462,0.187,-1.75
2020-02-27 17-00-15,11,16,40788,-1.32000000000005,0.21,0.43,0.05,0.43,-0.8400000000000318,,-2.0462,0.187,-1.75
2020-02-27 17-01-15,11,16,40789,-1.3400000000000318,0.21,0.51,0.09,0.43,-0.8400000000000318,,-2.0462,0.187,-1.75
2020-02-27 17-02-15,11,16,40790,-1.1200000000000045,0.67,0.29,0.37,0.47,-0.5199999999999818,,-2.0462,0.187,-1.687
2020-02-27 17-03-15,11,16,40791,-1.1599999999999682,0.41,0.25,0.37,0.75,-0.6399999999999864,,-2.0462,0.187,-1.687
2020-02-27 17-04-15,11,16,40792,-1.4200000000000728,0.21,0.17,0.13,0.51,-0.4800000000000182,,-2.0462,0.187,-1.75
2020-02-27 17-05-15,11,16,40793,-1.4200000000000728,0.33,0.37,-0.01999999999998181,0.21,-0.4800000000000182,,-2.0462,0.187,-1.75
2020-02-27 17-06-15,11,16,40794,-0.9200000000000728,0.51,0.25,-0.06000000000005912,0.43,-0.7599999999999909,,-2.0462,0.187,-1.812
2020-02-27 17-07-14,11,16,40795,-1.240000000000009,0.33,0.21,0.17,0.47,-1.0400000000000773,,-2.0462,0.187,-1.812
2020-02-27 17-08-14,11,16,40796,-1.2799999999999727,0.17,-0.01999999999998181,0.51,0.47,-0.8400000000000318,,-2.0462,0.125,-1.812
2020-02-27 17-09-15,11,16,40797,-1.4200000000000728,0.05,-0.10000000000002274,0.05,0.01,-1.0400000000000773,,-2.0462,0.187,-1.75
2020-02-27 17-10-15,11,16,40798,-1.2799999999999727,0.21,0.25,0.17,0.59,-1,,-2.0462,0.125,-1.75
2020-02-27 17-11-15,11,16,40799,-1.3400000000000318,0.09,-0.06000000000005912,0.09,0.01,-1,,-2.0462,0.125,-1.75
2020-02-27 17-12-15,11,16,40800,-1.3400000000000318,0.47,0.17,0.01,0.43,-0.9600000000000364,,-2.0462,0.062,-1.687
2020-02-27 17-13-15,11,16,40801,-1.080000000000041,0.21,-0.10000000000002274,0.17,0.25,-1.0400000000000773,,-2.0462,0.062,-1.812
2020-02-27 17-14-14,11,16,40802,-0.8000000000000682,0.25,-0.2599999999999909,-0.22000000000002728,0.29,-0.7200000000000273,,-2.0462,0.062,-1.875
2020-02-27 17-15-15,11,16,40803,-0.9600000000000364,0.37,0.25,0.29,0.29,-0.8400000000000318,,-2.0462,0.062,-1.812
2020-02-27 17-18-14,11,16,40804,-1.580000000000041,0.17,-0.13999999999998636,-0.13999999999998636,-0.2599999999999909,-0.8000000000000682,,-2.0462,0,-1.75
2020-02-27 17-19-15,11,16,40805,-1.580000000000041,0.47,-0.13999999999998636,0.17,0.01,-0.7599999999999909,,-2.0462,0,-1.687
